id,name,tradition,denomination,sub_denomination,address,city,zip,county,region,lat,lng,phone,website,email,leader,leader_title,founded,service_times,size,notes
st-martha,St. Martha Catholic Church,Christianity,Roman Catholic,Diocese of Venice,200 N Orange Ave,Sarasota,34236,Sarasota,,27.3393,-82.5421,(941) 366-4210,https://www.stmartha.org,,"Fr. George Suszko, S.A.C.",Pastor,1912,"Sat Vigil 4 PM; Sun 7:30, 9, 10:30 AM (Eng), 12 PM (Sp), 5 PM",Large,Known as 'the Circus Church'.
incarnation,Incarnation Catholic Church,Christianity,Roman Catholic,Diocese of Venice,2929 Bee Ridge Rd,Sarasota,34239,Sarasota,,27.2843,-82.4884,(941) 921-6631,https://incarnationchurch.org,,Fr. Eric Scanlan,Pastor,1958,"Sat Vigil 4 PM; Sun 7:30, 9, 11 AM, 5 PM",Large,
olqm,Our Lady Queen of Martyrs,Christianity,Roman Catholic,Diocese of Venice,833 Magellan Drive,Sarasota,34243,Sarasota,,27.4022,-82.5597,(941) 755-1826,https://olqm.net,,Fr. John Hoang,Pastor,1959,"Sat Vigil 4 PM; Sun 8, 10 AM, 12 PM",Large,
st-patrick,St. Patrick Catholic Church,Christianity,Roman Catholic,Diocese of Venice,7900 Bee Ridge Rd,Sarasota,34241,Sarasota,,27.284,-82.4296,(941) 378-1703,https://www.churchofstpatrick.org,,Rev. Robert Dziedziak,Pastor,,"Sat Vigil 4 PM; Sun 7:30, 9, 11 AM, 5 PM",Large,
epiphany-cathedral,Epiphany Cathedral,Christianity,Roman Catholic,Diocese of Venice (Cathedral),310 Sarasota St,Venice,34285,Sarasota,,27.0998,-82.4521,(941) 484-3505,https://www.epiphanycathedral.org,,,Rector,,,Large,Cathedral / seat of Diocese of Venice.
san-pedro,San Pedro Catholic Church,Christianity,Roman Catholic,Diocese of Venice,14380 Tamiami Trail,North Port,34287,Sarasota,,27.0432,-82.2231,(941) 426-2500,https://sanpedrocc.org,,"Fr. Thomas Carzon, OMV",Pastor,,,Large,
st-raphael,St. Raphael Catholic Church,Christianity,Roman Catholic,Diocese of Venice,770 Kilbourne Ave,Englewood,34223,Sarasota,,26.9577,-82.3479,,,,,,,,,
olmc-osprey,Our Lady of Mount Carmel,Christianity,Roman Catholic,Diocese of Venice,425 S Tamiami Trail,Osprey,34229,Sarasota,,27.1979,-82.4901,(941) 966-0807,,,,,,,,
st-barbara-greek,St. Barbara Greek Orthodox Church,Christianity,Eastern Orthodox,Greek Orthodox,7671 N Lockwood Ridge Rd,Sarasota,34243,Sarasota,,27.4113,-82.4893,(941) 355-2616,https://sarasotaorthodox.com,,,Priest,,"Sun Orthros 8:45 AM, Divine Liturgy 10 AM",,Only Greek Orthodox parish in the area. Annual Greek Festival in February.
redeemer,Church of the Redeemer,Christianity,Episcopal,Diocese of Southwest Florida,222 S Palm Ave,Sarasota,34236,Sarasota,,27.3329,-82.5404,(941) 955-4263,https://www.redeemersarasota.org,,The Rev. Charleston David Wilson,Rector,1885,"Sat 5:30 PM; Sun 7:30, 9, 11:15 AM","Large (~3,000+ members)",
st-boniface,St. Boniface Episcopal Church,Christianity,Episcopal,Diocese of Southwest Florida,5615 Midnight Pass Rd,Sarasota,34242,Sarasota,Siesta Key,27.263,-82.5328,,https://www.bonifacechurch.org,,The Rev. Nikki Seger,Rector,,"Sun 8, 10 AM",Medium-Large,
st-marks-venice,St. Mark's Episcopal Church,Christianity,Episcopal,Diocese of Southwest Florida,508 Riviera St,Venice,34285,Sarasota,,27.0985,-82.4495,(941) 488-7714,https://stmarksvenice.org,,Fr. Mike,Rector,,,,
st-davids,St. David's Episcopal Church,Christianity,Episcopal,Diocese of Southwest Florida,401 S Broadway,Englewood,34223,Sarasota,,26.9613,-82.3525,(941) 474-3140,https://www.stdavidsenglewood.org,,,,,,,
holy-spirit-osprey,Church of the Holy Spirit,Christianity,Episcopal,Diocese of Southwest Florida,129 S Tamiami Trail,Osprey,34229,Sarasota,,27.1957,-82.4894,(941) 966-1924,https://www.chsosprey.com,,,,,,,
faith-lutheran,Faith Lutheran Church,Christianity,Lutheran,ELCA,7750 S Beneva Rd,Sarasota,34238,Sarasota,,27.2454,-82.4914,(941) 924-4664,https://www.faithlutheransrq.com,,Rev. Eric Olaf Olsen,Pastor,,Sun 9 AM,,
lakeside-lutheran,Lakeside Lutheran Church,Christianity,Lutheran,LCMS,2401 S Tamiami Trail,Venice,34293,Sarasota,,27.0635,-82.4221,(941) 493-5102,https://lakesidelutheran.net,,Rev. David J. Dahlke,Pastor,,,,
emmanuel-lutheran,Emmanuel Lutheran Church,Christianity,Lutheran,ELCA,790 Tamiami Trail S,Venice,34285,Sarasota,,27.0951,-82.4509,,,,Rob Hall,Pastor,,,,
redeemer-lutheran-eng,Redeemer Lutheran Church,Christianity,Lutheran,LCMS,,Englewood,34223,Sarasota,,26.9621,-82.3573,,https://www.redeemerfl.com,,,,,,,
first-umc-sarasota,First United Methodist Church of Sarasota,Christianity,United Methodist,,104 S Pineapple Ave,Sarasota,34236,Sarasota,,27.3358,-82.5414,(941) 955-0935,https://firstsrq.com,,Brett DeHart,Senior Pastor,,"Sun 9, 11 AM",Large,
vamo-umc,Vamo United Methodist Church,Christianity,United Methodist,,8521 Vamo Rd,Sarasota,34231,Sarasota,,27.2231,-82.5142,(941) 966-3306,,,Chester J. Zarzycki Jr.,Pastor,1960,Sun 10 AM,,
grace-umc-venice,Grace United Methodist Church,Christianity,United Methodist,,,Venice,,Sarasota,,27.0998,-82.4287,,https://christvenice.com,,Daryl Allen,Senior Pastor,,,,Consolidation of former First UMC of Venice.
